,userId,movieId,rating
0,7340,661,1.999686
1,7340,527,1.7850212
2,7340,1387,1.7770323
3,7340,1291,1.7741535
4,7340,1220,1.7616001
5,30970,2424,2.9995534
6,30970,318,2.7798882
7,30970,1193,2.680576
8,30970,68358,2.6383505
9,30970,527,2.6167846
10,35820,953,3.9996536
11,35820,4014,2.6764038
12,35820,4226,2.3083663
13,35820,3949,2.2747054
14,35820,1193,2.2280874
15,56110,2959,4.9993634
16,56110,99114,3.9997523
17,56110,293,3.9145598
18,56110,1291,3.7105708
19,56110,1225,3.702782
20,68610,5060,4.9995394
21,68610,33794,3.572064
22,68610,26131,3.238737
23,68610,923,3.2224727
24,68610,903,3.2166152
25,95080,1208,4.0737495
26,95080,508,3.9499469
27,95080,1732,3.8453221
28,95080,1201,3.7286634
29,95080,832,3.5758405
30,108460,107,4.999004
31,108460,527,4.688701
32,108460,4848,4.6133213
33,108460,1198,4.398296
34,108460,923,4.385722
35,160820,2959,5.089485
36,160820,1358,5.0325413
37,160820,1011,4.9988213
38,160820,318,4.9366446
39,160820,293,4.935035
40,46521,1207,3.9996793
41,46521,527,2.2155523
42,46521,4896,2.1884863
43,46521,150,2.1861575
44,46521,2028,2.170476
45,47501,1387,4.932577
46,47501,1221,4.5382075
47,47501,1259,4.526874
48,47501,1358,4.5071244
49,47501,1252,4.45434
50,57201,37729,2.9995286
51,57201,1246,2.7503042
52,57201,3578,2.7197902
53,57201,1258,2.6492088
54,57201,4848,2.608987
55,74251,1220,5.6360917
56,74251,318,5.6111884
57,74251,2542,5.5721803
58,74251,1219,5.108608
59,74251,357,5.0674405
60,83861,223,3.0247295
61,83861,372,2.9995196
62,83861,293,2.7149
63,83861,1584,2.6887028
64,83861,527,2.6492274
65,103011,1213,3.5473666
66,103011,1036,3.489796
67,103011,923,3.4170425
68,103011,1210,3.3781838
69,103011,920,3.3713658
70,112971,3000,3.2555804
71,112971,1225,3.231153
72,112971,1732,3.1960948
73,112971,3362,3.1184871
74,112971,88129,3.0441527
75,124861,34,3.9995875
76,124861,1358,2.85475
77,124861,527,2.741914
78,124861,2019,2.720127
79,124861,318,2.7021708
80,126191,919,1.4998838
81,126191,1193,1.0516782
82,126191,527,0.9872792
83,126191,2542,0.91873556
84,126191,4226,0.8954488
85,128131,316,2.9996943
86,128131,527,2.1328406
87,128131,924,2.0929341
88,128131,858,2.0604527
89,128131,150,2.059052
90,131811,1584,3.3589978
91,131811,527,3.353845
92,131811,1387,3.26007
93,131811,6,3.1997921
94,131811,2542,3.1587636
95,145011,6539,2.999699
96,145011,5349,2.2511153
97,145011,111,2.2046275
98,145011,1210,2.2031379
99,145011,293,2.1847417
100,149761,165,4.499599
101,149761,296,3.1384802
102,149761,3578,3.003218
103,149761,1704,2.9922836
104,149761,260,2.9723332
105,162321,44665,4.999985
106,162321,1646,4.998142
107,162321,1206,4.0216117
108,162321,150,3.843277
109,162321,58559,3.8350306
110,8592,110102,3.9994001
111,8592,527,3.4790468
112,8592,357,3.4418762
113,8592,2762,3.39448
114,8592,2959,3.3460927
115,46952,80463,3.9995153
116,46952,1704,3.4109893
117,46952,293,3.224497
118,46952,3949,3.1031444
119,46952,1199,3.0486848
120,67492,353,4.99956
121,67492,708,3.5355084
122,67492,1358,3.3677065
123,67492,1387,3.3207426
124,67492,2542,3.2760901
125,74852,2763,3.9995198
126,74852,1193,3.7435024
127,74852,2329,3.453635
128,74852,2019,3.3621345
129,74852,1265,3.3396175
130,87462,2612,4.9991813
131,87462,1358,3.7999725
132,87462,293,3.724
133,87462,2019,3.692017
134,87462,4011,3.675678
135,109622,3681,3.9994075
136,109622,1198,3.1288018
137,109622,70,3.0827732
138,109622,1199,3.06765
139,109622,1204,2.9988923
140,113652,117529,3.499418
141,113652,527,3.2163563
142,113652,111,2.7366533
143,113652,60069,2.6805227
144,113652,8784,2.6650207
145,10623,1584,5.1294494
146,10623,1732,5.053851
147,10623,2329,4.7983313
148,10623,2395,4.7792277
149,10623,49272,4.653839
150,13623,1608,4.999399
151,13623,4226,4.2427325
152,13623,527,3.8899572
153,13623,1225,3.8180642
154,13623,924,3.7572985
155,31983,858,4.46972
156,31983,48516,4.0900154
157,31983,1270,4.0317054
158,31983,6016,4.031137
159,31983,2804,3.974568
160,76143,140,3.9993303
161,76143,1199,3.0208926
162,76143,527,2.991863
163,76143,1225,2.9044843
164,76143,1732,2.869475
165,98143,832,4.999539
166,98143,2959,3.6397574
167,98143,1225,3.5743449
168,98143,4848,3.5321553
169,98143,293,3.514668
170,124743,2502,2.9997418
171,124743,2542,2.026714
172,124743,1201,1.981056
173,124743,1225,1.9447014
174,124743,5995,1.9155612
175,154033,6283,2.9993074
176,154033,2542,2.8359423
177,154033,1225,2.7789838
178,154033,597,2.7538455
179,154033,68358,2.733383
180,158593,3578,5.2155485
181,158593,34405,5.1697416
182,158593,2542,5.0342636
183,158593,527,4.9218144
184,158593,608,4.841433
185,162473,3685,2.999438
186,162473,1500,2.4830284
187,162473,1358,2.3307278
188,162473,111,2.3072894
189,162473,1219,2.243224
190,19204,7293,1.4998004
191,19204,293,1.3546379
192,19204,1225,1.2963499
193,19204,2542,1.284765
194,19204,1036,1.2474453
195,29054,527,4.9399104
196,29054,1732,4.832863
197,29054,924,4.7449045
198,29054,1617,4.7426014
199,29054,34405,4.7212086
200,29194,2542,3.1304336
201,29194,588,3.0861328
202,29194,1265,3.0507312
203,29194,2959,3.037229
204,29194,293,3.0079014
205,35694,1732,3.1904373
206,35694,527,3.1550252
207,35694,1213,3.0226555
208,35694,920,3.0215466
209,35694,34405,2.9853313
210,43714,1200,4.9995193
211,43714,318,3.4236224
212,43714,4226,3.3185322
213,43714,912,3.306182
214,43714,1225,3.2308316
215,75294,4369,2.9994829
216,75294,150,2.536185
217,75294,4226,2.5045755
218,75294,2542,2.4782093
219,75294,48516,2.4137378
220,91784,89745,3.9990363
221,91784,48516,3.2321267
222,91784,1193,3.123479
223,91784,1234,3.0992742
224,91784,318,3.0945446
225,104064,130634,4.998659
226,104064,2395,4.5306444
